label_aktual,label_prediksi
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,pro_peserta
netral,netral
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
pro_peserta,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,netral
pro_peserta,netral
pro_peserta,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,pro_peserta
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
pro_peserta,pro_peserta
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,pro_peserta
netral,netral
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,kritik_juri_panitia
pro_peserta,pro_peserta
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
netral,kritik_juri_panitia
kritik_juri_panitia,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
netral,netral
kritik_juri_panitia,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,netral
netral,netral
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,netral
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
kritik_juri_panitia,kritik_juri_panitia
netral,netral
pro_peserta,pro_peserta
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
kritik_juri_panitia,kritik_juri_panitia
netral,netral
pro_peserta,pro_peserta
pro_peserta,pro_peserta
netral,netral
pro_peserta,pro_peserta
